2022-01-24 22:32:14.657[1643059934657] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36946.32000000
2022-01-24 22:32:14.657[1643059934657] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:14.657[1643059934657] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:15.631[1643059935631] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36946.32000000
2022-01-24 22:32:15.631[1643059935631] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36946.32000000
2022-01-24 22:32:15.631[1643059935631] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:15.632[1643059935632] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:15.633[1643059935633] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36946.66000000
2022-01-24 22:32:15.633[1643059935633] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36946.66000000
2022-01-24 22:32:15.633[1643059935633] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:15.633[1643059935633] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:15.660[1643059935660] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36946.71000000
